
### root completed   [full_n150_f1.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81               4%      9%     23%     51%     90%    100%    100%    100%
   letter lazy m2                5%     14%     32%     62%     93%     97%     97%     97%
   F p75fit                     89%     95%     93%     95%    100%    100%    100%    100%
   F2 A=2.5                     89%     95%     93%     95%    100%    100%    100%    100%
   F2 A=3                       89%     95%     93%     95%    100%    100%    100%    100%
   F2 A=4                       89%     95%     93%     95%    100%    100%    100%    100%
   F2 A=3 no m                  89%     95%     93%     95%    100%    100%    100%    100%
   F2 A=3 sigma=0               89%     83%     92%     91%    100%    100%    100%    100%
   F2 A=3 floor=0               89%     83%     93%     94%    100%    100%    100%    100%
   F2 A=3 no-dynamic            89%     95%     93%     95%    100%    100%    100%    100%

### useful = coverage if root completed else 0   [full_n150_f1.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81             0.02    0.07    0.19    0.43    0.77    0.86    0.86    0.86
   letter lazy m2              0.03    0.08    0.24    0.50    0.76    0.80    0.80    0.80
   F p75fit                    0.14    0.28    0.41    0.65    0.85    0.86    0.86    0.86
   F2 A=2.5                    0.14    0.28    0.41    0.65    0.85    0.86    0.86    0.86
   F2 A=3                      0.14    0.28    0.41    0.65    0.85    0.86    0.86    0.86
   F2 A=4                      0.14    0.28    0.41    0.65    0.85    0.86    0.86    0.86
   F2 A=3 no m                 0.14    0.28    0.41    0.65    0.85    0.86    0.86    0.86
   F2 A=3 sigma=0              0.14    0.25    0.43    0.64    0.85    0.86    0.86    0.86
   F2 A=3 floor=0              0.14    0.26    0.43    0.65    0.85    0.86    0.86    0.86
   F2 A=3 no-dynamic           0.14    0.28    0.41    0.65    0.85    0.86    0.86    0.86

### energy death   [full_n150_f1.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81              96%     91%     77%     49%     10%      0%      0%      0%
   letter lazy m2               95%     85%     68%     35%      5%      0%      0%      0%
   F p75fit                      6%      0%      2%      1%      0%      0%      0%      0%
   F2 A=2.5                      6%      0%      2%      1%      0%      0%      0%      0%
   F2 A=3                        6%      0%      2%      1%      0%      0%      0%      0%
   F2 A=4                        6%      0%      2%      1%      0%      0%      0%      0%
   F2 A=3 no m                   6%      0%      2%      1%      0%      0%      0%      0%
   F2 A=3 sigma=0                6%     13%      3%      5%      0%      0%      0%      0%
   F2 A=3 floor=0                6%     12%      3%      2%      0%      0%      0%      0%
   F2 A=3 no-dynamic             6%      0%      3%      1%      0%      0%      0%      0%

### root refused at bootstrap   [full_n150_f1.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81               0%      0%      0%      0%      0%      0%      0%      0%
   letter lazy m2                0%      0%      0%      0%      0%      0%      0%      0%
   F p75fit                      0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=2.5                      0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=3                        0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=4                        0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=3 no m                   0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=3 sigma=0                0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=3 floor=0                0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=3 no-dynamic             0%      0%      0%      0%      0%      0%      0%      0%

### false ceiling kills per run (task would have succeeded)   [full_n150_f1.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81             0.00    0.00    0.00    0.01    0.01    0.01    0.01    0.01
   letter lazy m2              0.02    0.09    0.19    0.29    0.31    0.30    0.30    0.30
   F p75fit                    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   F2 A=2.5                    0.00    0.00    0.00    0.01    0.01    0.01    0.01    0.01
   F2 A=3                      0.00    0.00    0.00    0.00    0.01    0.01    0.01    0.01
   F2 A=4                      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   F2 A=3 no m                 0.00    0.00    0.00    0.00    0.01    0.01    0.01    0.01
   F2 A=3 sigma=0              0.00    0.00    0.00    0.00    0.01    0.01    0.01    0.01
   F2 A=3 floor=0              0.00    0.00    0.00    0.00    0.01    0.01    0.01    0.01
   F2 A=3 no-dynamic           0.00    0.00    0.00    0.00    0.01    0.01    0.01    0.01

### runs whose ROOT was false-killed   [full_n150_f1.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81             0.0%    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%
   letter lazy m2              0.0%    0.7%    0.0%    2.7%    2.7%    2.7%    2.7%    2.7%
   F p75fit                    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%
   F2 A=2.5                    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%
   F2 A=3                      0.0%    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%
   F2 A=4                      0.0%    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%
   F2 A=3 no m                 0.0%    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%
