
### root completed   [full_n100_f2.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81               2%      7%     19%     47%     86%    100%    100%    100%
   letter lazy m2                3%      9%     23%     55%     94%    100%    100%    100%
   F p75fit                     96%     99%     98%    100%    100%    100%    100%    100%
   F2 A=2.5                     96%     99%     98%    100%    100%    100%    100%    100%
   F2 A=3                       96%     99%     98%    100%    100%    100%    100%    100%
   F2 A=4                       96%     99%     98%    100%    100%    100%    100%    100%
   F2 A=3 no m                  96%     99%     98%    100%    100%    100%    100%    100%
   F2 A=3 sigma=0               95%     82%     96%    100%    100%    100%    100%    100%
   F2 A=3 floor=0               95%     82%     97%    100%    100%    100%    100%    100%
   F2 A=3 no-dynamic            95%     98%     98%    100%    100%    100%    100%    100%

### useful = coverage if root completed else 0   [full_n100_f2.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81             0.02    0.06    0.15    0.37    0.68    0.80    0.80    0.80
   letter lazy m2              0.02    0.06    0.14    0.38    0.66    0.71    0.71    0.71
   F p75fit                    0.10    0.21    0.31    0.55    0.77    0.80    0.80    0.80
   F2 A=2.5                    0.10    0.21    0.31    0.55    0.76    0.79    0.79    0.79
   F2 A=3                      0.10    0.21    0.31    0.55    0.77    0.80    0.80    0.80
   F2 A=4                      0.10    0.21    0.31    0.55    0.77    0.80    0.80    0.80
   F2 A=3 no m                 0.10    0.21    0.31    0.55    0.77    0.80    0.80    0.80
   F2 A=3 sigma=0              0.10    0.19    0.34    0.57    0.77    0.80    0.80    0.80
   F2 A=3 floor=0              0.10    0.18    0.33    0.57    0.77    0.80    0.80    0.80
   F2 A=3 no-dynamic           0.10    0.21    0.31    0.55    0.77    0.80    0.80    0.80

### energy death   [full_n100_f2.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81              98%     93%     81%     53%     14%      0%      0%      0%
   letter lazy m2               97%     91%     77%     45%      6%      0%      0%      0%
   F p75fit                      4%      0%      2%      0%      0%      0%      0%      0%
   F2 A=2.5                      4%      0%      2%      0%      0%      0%      0%      0%
   F2 A=3                        4%      0%      2%      0%      0%      0%      0%      0%
   F2 A=4                        4%      0%      2%      0%      0%      0%      0%      0%
   F2 A=3 no m                   4%      0%      2%      0%      0%      0%      0%      0%
   F2 A=3 sigma=0                5%     18%      4%      0%      0%      0%      0%      0%
   F2 A=3 floor=0                5%     18%      3%      0%      0%      0%      0%      0%
   F2 A=3 no-dynamic             5%      2%      2%      0%      0%      0%      0%      0%

### root refused at bootstrap   [full_n100_f2.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81               0%      0%      0%      0%      0%      0%      0%      0%
   letter lazy m2                0%      0%      0%      0%      0%      0%      0%      0%
   F p75fit                      0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=2.5                      0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=3                        0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=4                        0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=3 no m                   0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=3 sigma=0                0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=3 floor=0                0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=3 no-dynamic             0%      0%      0%      0%      0%      0%      0%      0%

