
### root completed   [lean_n150_f1.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81               9%     25%     47%     83%     99%    100%    100%    100%
   letter lazy m2               13%     36%     55%     85%     95%     95%     95%     95%
   F p75fit                     94%     94%     93%     98%    100%    100%    100%    100%
   F2 A=2.5                     94%     94%     93%     99%    100%    100%    100%    100%
   F2 A=3                       94%     94%     93%     98%    100%    100%    100%    100%
   F2 A=4                       94%     94%     93%     98%    100%    100%    100%    100%
   F2 A=3 no m                  94%     94%     93%     98%    100%    100%    100%    100%
   F2 A=3 sigma=0               93%     83%     91%     97%    100%    100%    100%    100%
   F2 A=3 floor=0               93%     84%     93%     98%    100%    100%    100%    100%
   F2 A=3 no-dynamic            94%     94%     93%     98%    100%    100%    100%    100%

### useful = coverage if root completed else 0   [lean_n150_f1.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81             0.07    0.21    0.40    0.71    0.85    0.86    0.86    0.86
   letter lazy m2              0.07    0.27    0.44    0.69    0.78    0.78    0.78    0.78
   F p75fit                    0.26    0.45    0.62    0.81    0.86    0.86    0.86    0.86
   F2 A=2.5                    0.26    0.45    0.62    0.81    0.86    0.86    0.86    0.86
   F2 A=3                      0.26    0.45    0.62    0.81    0.86    0.86    0.86    0.86
   F2 A=4                      0.26    0.45    0.62    0.81    0.86    0.86    0.86    0.86
   F2 A=3 no m                 0.26    0.45    0.62    0.81    0.86    0.86    0.86    0.86
   F2 A=3 sigma=0              0.27    0.42    0.61    0.80    0.86    0.86    0.86    0.86
   F2 A=3 floor=0              0.27    0.42    0.62    0.81    0.86    0.86    0.86    0.86
   F2 A=3 no-dynamic           0.26    0.45    0.61    0.81    0.86    0.86    0.86    0.86

### energy death   [lean_n150_f1.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81              91%     75%     53%     17%      1%      0%      0%      0%
   letter lazy m2               87%     63%     43%     11%      0%      0%      0%      0%
   F p75fit                      1%      1%      3%      1%      0%      0%      0%      0%
   F2 A=2.5                      1%      1%      3%      1%      0%      0%      0%      0%
   F2 A=3                        1%      1%      3%      1%      0%      0%      0%      0%
   F2 A=4                        1%      1%      3%      1%      0%      0%      0%      0%
   F2 A=3 no m                   1%      1%      3%      1%      0%      0%      0%      0%
   F2 A=3 sigma=0                3%     12%      5%      3%      0%      0%      0%      0%
   F2 A=3 floor=0                3%     11%      3%      2%      0%      0%      0%      0%
   F2 A=3 no-dynamic             1%      1%      3%      1%      0%      0%      0%      0%

### root refused at bootstrap   [lean_n150_f1.0_two_level]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81               0%      0%      0%      0%      0%      0%      0%      0%
   letter lazy m2                0%      0%      0%      0%      0%      0%      0%      0%
   F p75fit                      0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=2.5                      0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=3                        0%      0%      0%      0%      0%      0%      0%      0%
   F2 A=4                        0%      0%      0%      0%      0%      0%      0%      0%
