
### root completed   [full_n150_f1.0]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81               4%      9%     23%     51%     90%    100%    100%    100%
   letter lazy m2                5%     14%     32%     62%     93%     97%     97%     97%
   letter cap m2                 0%      0%      0%     66%     95%    100%    100%    100%
   letter agent m2               5%     13%     24%     51%     90%    100%    100%    100%
   letter ceiling-only m2        4%     10%     27%     60%     87%     90%     90%     90%
   F mean                       89%     79%     59%     79%     97%    100%    100%    100%
   F p75                        89%     85%     93%     93%    100%    100%    100%    100%
   F p90                         0%     95%     95%     96%    100%    100%    100%    100%
   F p75 bundle                 86%     87%     93%     95%    100%    100%    100%    100%
   F p75 m1.5                   89%     85%     93%     93%    100%    100%    100%    100%
   F p75 m3                     89%     85%     93%     93%    100%    100%    100%    100%
   F p75 no-dynamic             89%     83%     93%     93%    100%    100%    100%    100%

### useful = coverage if root completed else 0   [full_n150_f1.0]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81             0.02    0.07    0.19    0.43    0.77    0.86    0.86    0.86
   letter lazy m2              0.03    0.08    0.24    0.50    0.76    0.80    0.80    0.80
   letter cap m2               0.00    0.00    0.00    0.52    0.78    0.82    0.82    0.82
   letter agent m2             0.03    0.08    0.19    0.43    0.78    0.86    0.86    0.86
   letter ceiling-only m2      0.02    0.08    0.21    0.48    0.72    0.74    0.74    0.74
   F mean                      0.15    0.27    0.35    0.60    0.83    0.86    0.86    0.86
   F p75                       0.14    0.26    0.43    0.66    0.85    0.86    0.86    0.86
   F p90                       0.00    0.26    0.34    0.62    0.84    0.86    0.86    0.86
   F p75 bundle                0.06    0.17    0.39    0.66    0.85    0.86    0.86    0.86
   F p75 m1.5                  0.14    0.26    0.43    0.66    0.85    0.86    0.86    0.86
   F p75 m3                    0.14    0.26    0.43    0.66    0.85    0.86    0.86    0.86
   F p75 no-dynamic            0.14    0.26    0.43    0.66    0.85    0.86    0.86    0.86

### energy death   [full_n150_f1.0]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81              96%     91%     77%     49%     10%      0%      0%      0%
   letter lazy m2               95%     85%     68%     35%      5%      0%      0%      0%
   letter cap m2                 0%      0%      0%     30%      5%      0%      0%      0%
   letter agent m2              95%     87%     76%     49%     10%      0%      0%      0%
   letter ceiling-only m2       96%     90%     73%     35%      5%      0%      0%      0%
   F mean                        5%     16%     39%     17%      3%      0%      0%      0%
   F p75                         6%     11%      2%      3%      0%      0%      0%      0%
   F p90                         0%      0%      0%      0%      0%      0%      0%      0%
   F p75 bundle                  6%      8%      3%      1%      0%      0%      0%      0%
   F p75 m1.5                    6%     11%      2%      3%      0%      0%      0%      0%
   F p75 m3                      6%     11%      2%      3%      0%      0%      0%      0%
   F p75 no-dynamic              6%     12%      3%      3%      0%      0%      0%      0%

### root refused at bootstrap   [full_n150_f1.0]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81               0%      0%      0%      0%      0%      0%      0%      0%
   letter lazy m2                0%      0%      0%      0%      0%      0%      0%      0%
   letter cap m2               100%    100%    100%      0%      0%      0%      0%      0%
   letter agent m2               0%      0%      0%      0%      0%      0%      0%      0%
   letter ceiling-only m2        0%      0%      0%      0%      0%      0%      0%      0%
   F mean                        0%      0%      0%      0%      0%      0%      0%      0%
   F p75                         0%      0%      0%      0%      0%      0%      0%      0%
   F p90                       100%      0%      0%      0%      0%      0%      0%      0%
   F p75 bundle                  0%      0%      0%      0%      0%      0%      0%      0%
   F p75 m1.5                    0%      0%      0%      0%      0%      0%      0%      0%
   F p75 m3                      0%      0%      0%      0%      0%      0%      0%      0%
   F p75 no-dynamic              0%      0%      0%      0%      0%      0%      0%      0%

### false ceiling kills per run (task would have succeeded)   [full_n150_f1.0]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81             0.00    0.00    0.00    0.01    0.01    0.01    0.01    0.01
   letter lazy m2              0.02    0.09    0.19    0.29    0.31    0.30    0.30    0.30
   letter cap m2               0.00    0.00    0.00    0.19    0.25    0.27    0.27    0.27
   letter agent m2             0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   letter ceiling-only m2      0.00    0.04    0.15    0.44    0.57    0.61    0.61    0.61
   F mean                      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   F p75                       0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   F p90                       0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   F p75 bundle                0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   F p75 m1.5                  0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   F p75 m3                    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   F p75 no-dynamic            0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

### runs whose ROOT was false-killed   [full_n150_f1.0]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81             0.0%    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%    0.0%
   letter lazy m2              0.0%    0.7%    0.0%    2.7%    2.7%    2.7%    2.7%    2.7%
