
### root completed   [full_n100_f2.0_main]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81               2%      7%     19%     47%     86%    100%    100%    100%
   letter lazy m2                3%      9%     23%     55%     94%    100%    100%    100%
   letter cap m2                 0%      0%      0%     59%     95%    100%    100%    100%
   letter agent m2               3%      7%     21%     48%     84%    100%    100%    100%
   letter ceiling-only m2        2%      9%     21%     54%     94%    100%    100%    100%
   F mean                       95%     78%     54%     77%     94%    100%    100%    100%
   F p75                        96%     84%     96%     96%    100%    100%    100%    100%
   F p90                         0%    100%    100%    100%    100%    100%    100%    100%
   F p75 bundle                 95%     95%     99%     97%    100%    100%    100%    100%
   F p75 m1.5                   96%     84%     96%     96%    100%    100%    100%    100%
   F p75 m3                     96%     84%     96%     96%    100%    100%    100%    100%
   F p75 no-dynamic             95%     82%     95%     95%    100%    100%    100%    100%

### useful = coverage if root completed else 0   [full_n100_f2.0_main]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81             0.02    0.06    0.15    0.37    0.68    0.80    0.80    0.80
   letter lazy m2              0.02    0.06    0.14    0.38    0.66    0.71    0.71    0.71
   letter cap m2               0.00    0.00    0.00    0.39    0.67    0.71    0.71    0.71
   letter agent m2             0.02    0.06    0.15    0.38    0.67    0.80    0.80    0.80
   letter ceiling-only m2      0.02    0.06    0.14    0.37    0.66    0.71    0.71    0.71
   F mean                      0.11    0.20    0.25    0.50    0.74    0.80    0.80    0.80
   F p75                       0.10    0.18    0.33    0.55    0.78    0.80    0.80    0.80
   F p90                       0.00    0.19    0.26    0.50    0.76    0.80    0.80    0.80
   F p75 bundle                0.07    0.14    0.31    0.53    0.77    0.80    0.80    0.80
   F p75 m1.5                  0.10    0.18    0.33    0.55    0.78    0.80    0.80    0.80
   F p75 m3                    0.10    0.18    0.33    0.55    0.78    0.80    0.80    0.80
   F p75 no-dynamic            0.10    0.18    0.33    0.55    0.78    0.80    0.80    0.80

### energy death   [full_n100_f2.0_main]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81              98%     93%     81%     53%     14%      0%      0%      0%
   letter lazy m2               97%     91%     77%     45%      6%      0%      0%      0%
   letter cap m2                 0%      0%      0%     41%      5%      0%      0%      0%
   letter agent m2              97%     93%     79%     52%     16%      0%      0%      0%
   letter ceiling-only m2       98%     91%     79%     46%      6%      0%      0%      0%
   F mean                        5%     22%     46%     23%      6%      0%      0%      0%
   F p75                         4%     16%      4%      4%      0%      0%      0%      0%
   F p90                         0%      0%      0%      0%      0%      0%      0%      0%
   F p75 bundle                  4%      5%      1%      3%      0%      0%      0%      0%
   F p75 m1.5                    4%     16%      4%      4%      0%      0%      0%      0%
   F p75 m3                      4%     16%      4%      4%      0%      0%      0%      0%
   F p75 no-dynamic              5%     18%      5%      5%      0%      0%      0%      0%

### root refused at bootstrap   [full_n100_f2.0_main]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81               0%      0%      0%      0%      0%      0%      0%      0%
   letter lazy m2                0%      0%      0%      0%      0%      0%      0%      0%
   letter cap m2               100%    100%    100%      0%      0%      0%      0%      0%
   letter agent m2               0%      0%      0%      0%      0%      0%      0%      0%
   letter ceiling-only m2        0%      0%      0%      0%      0%      0%      0%      0%
   F mean                        0%      0%      0%      0%      0%      0%      0%      0%
