
### root completed   [lean_n150_f1.0]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81               9%     25%     47%     83%     99%    100%    100%    100%
   letter lazy m2               13%     36%     55%     85%     95%     95%     95%     95%
   letter cap m2                 0%      0%     57%     86%    100%    100%    100%    100%
   letter agent m2              12%     27%     47%     83%     99%    100%    100%    100%
   letter ceiling-only m2        9%     33%     53%     79%     83%     83%     83%     83%
   F mean                       71%     65%     81%     95%     99%    100%    100%    100%
   F p75                        94%     85%     94%     97%    100%    100%    100%    100%
   F p90                        94%     95%     96%     99%    100%    100%    100%    100%
   F p75 bundle                 91%     88%     93%     98%    100%    100%    100%    100%
   F p75 m1.5                   94%     85%     94%     97%    100%    100%    100%    100%
   F p75 m3                     94%     85%     94%     97%    100%    100%    100%    100%
   F p75 no-dynamic             94%     83%     93%     97%    100%    100%    100%    100%

### useful = coverage if root completed else 0   [lean_n150_f1.0]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81             0.07    0.21    0.40    0.71    0.85    0.86    0.86    0.86
   letter lazy m2              0.07    0.27    0.44    0.69    0.78    0.78    0.78    0.78
   letter cap m2               0.00    0.00    0.45    0.70    0.82    0.82    0.82    0.82
   letter agent m2             0.07    0.22    0.40    0.71    0.85    0.86    0.86    0.86
   letter ceiling-only m2      0.07    0.26    0.43    0.65    0.69    0.69    0.69    0.69
   F mean                      0.23    0.40    0.58    0.79    0.86    0.86    0.86    0.86
   F p75                       0.26    0.42    0.63    0.81    0.86    0.86    0.86    0.86
   F p90                       0.25    0.42    0.60    0.81    0.86    0.86    0.86    0.86
   F p75 bundle                0.23    0.37    0.59    0.80    0.86    0.86    0.86    0.86
   F p75 m1.5                  0.26    0.42    0.63    0.81    0.86    0.86    0.86    0.86
   F p75 m3                    0.26    0.42    0.63    0.81    0.86    0.86    0.86    0.86
   F p75 no-dynamic            0.26    0.41    0.62    0.80    0.86    0.86    0.86    0.86

### energy death   [lean_n150_f1.0]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81              91%     75%     53%     17%      1%      0%      0%      0%
   letter lazy m2               87%     63%     43%     11%      0%      0%      0%      0%
   letter cap m2                 0%      0%     40%     10%      0%      0%      0%      0%
   letter agent m2              88%     73%     53%     17%      1%      0%      0%      0%
   letter ceiling-only m2       91%     66%     41%      9%      0%      0%      0%      0%
   F mean                       26%     32%     15%      5%      1%      0%      0%      0%
   F p75                         1%     10%      2%      2%      0%      0%      0%      0%
   F p90                         1%      0%      0%      0%      0%      0%      0%      0%
   F p75 bundle                  5%      7%      3%      1%      0%      0%      0%      0%
   F p75 m1.5                    1%     10%      2%      2%      0%      0%      0%      0%
   F p75 m3                      1%     10%      2%      2%      0%      0%      0%      0%
   F p75 no-dynamic              1%     12%      3%      3%      0%      0%      0%      0%

### root refused at bootstrap   [lean_n150_f1.0]
   config                     B=100   B=150   B=200   B=300   B=500   B=800  B=1500  B=3000
   baseline flat81               0%      0%      0%      0%      0%      0%      0%      0%
